invoice_id,invoice_line_id,linked_order_line_id,quantity,net_price,sales_amount,invoice_date,status
INV_000006,IL_000006,OL_000006,2,597.06,1194.12,2024-01-02,partial
INV_000008,IL_000008,OL_000007,5,160.09,800.45,2024-01-02,partial
INV_000015,IL_000015,OL_000012,2,639.38,1278.76,2024-01-03,invoiced
INV_000017,IL_000017,OL_000014,3,186.6,559.8,2024-01-03,partial
INV_000024,IL_000024,OL_000020,9,163.32,1469.8799999999999,2024-01-03,invoiced
INV_000030,IL_000030,OL_000026,3,191.95,575.8499999999999,2024-01-03,partial
INV_000033,IL_000033,OL_000028,2,600.09,1200.18,2024-01-03,invoiced
INV_000035,IL_000035,OL_000030,4,413.26,1653.04,2024-01-03,invoiced
INV_000038,IL_000038,OL_000033,2,177.97,355.94,2024-01-03,invoiced
INV_000039,IL_000039,OL_000034,1,339.65,339.65,2024-01-03,invoiced
INV_000040,IL_000040,OL_000035,1,600.39,600.39,2024-01-03,invoiced
INV_000042,IL_000042,OL_000037,1,530.73,530.73,2024-01-03,invoiced
INV_000011,IL_000011,OL_000009,3,211.97,635.91,2024-01-04,partial
INV_000019,IL_000019,OL_000015,10,175.52,1755.2,2024-01-04,invoiced
INV_000021,IL_000021,OL_000017,6,262.44,1574.6399999999999,2024-01-04,invoiced
INV_000027,IL_000027,OL_000023,3,960.36,2881.08,2024-01-04,invoiced
INV_000028,IL_000028,OL_000024,2,741.54,1483.08,2024-01-04,invoiced
INV_000001,IL_000001,OL_000001,10,177.91,1779.1,2024-01-05,invoiced
INV_000014,IL_000014,OL_000011,2,759.33,1518.66,2024-01-05,invoiced
INV_000020,IL_000020,OL_000016,5,395.77,1978.85,2024-01-06,invoiced
INV_000002,IL_000002,OL_000002,2,337.61,675.22,2024-01-07,invoiced
INV_000003,IL_000003,OL_000003,5,402.2,2011.0,2024-01-07,invoiced
INV_000005,IL_000005,OL_000005,2,896.12,1792.24,2024-01-07,invoiced
INV_000009,IL_000009,OL_000007,4,160.09,640.36,2024-01-07,delayed
INV_000012,IL_000012,OL_000009,2,211.97,423.94,2024-01-07,delayed
INV_000013,IL_000013,OL_000010,3,952.11,2856.33,2024-01-07,invoiced
INV_000023,IL_000023,OL_000019,2,606.92,1213.84,2024-01-07,invoiced
INV_000025,IL_000025,OL_000021,6,406.74,2440.44,2024-01-07,invoiced
INV_000029,IL_000029,OL_000025,5,531.12,2655.6,2024-01-07,invoiced
INV_000032,IL_000032,OL_000027,2,342.43,684.86,2024-01-07,invoiced
INV_000036,IL_000036,OL_000031,3,203.72,611.16,2024-01-07,invoiced
INV_000041,IL_000041,OL_000036,2,211.97,423.94,2024-01-07,invoiced
INV_000004,IL_000004,OL_000004,6,257.36,1544.16,2024-01-08,invoiced
INV_000010,IL_000010,OL_000008,7,410.62,2874.34,2024-01-08,invoiced
INV_000016,IL_000016,OL_000013,5,520.65,2603.25,2024-01-08,invoiced
INV_000018,IL_000018,OL_000014,2,186.6,373.2,2024-01-08,delayed
INV_000022,IL_000022,OL_000018,2,866.45,1732.9,2024-01-08,invoiced
INV_000026,IL_000026,OL_000022,4,206.41,825.64,2024-01-08,invoiced
INV_000034,IL_000034,OL_000029,3,165.18,495.54,2024-01-08,invoiced
