date,year,month,week_number,year_week,customer_id,product_id,relationship_strength,list_price,category_l1,category_l2,effort_type,substitute_type,scenario_role,platform_type,baseline_qty,adjusted_qty,event_delta,event_id,event_type,event_layer,promo_id,recall_case_id
2024-01-01,2024,1,1,2024-W01,CUST_A,P1,1.0,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,2.238370150763976,2.238370150763976,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P10,0.55,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.40336600600735806,0.40336600600735806,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P11,0.85,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,1.1564477540774925,1.1564477540774925,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P12,0.88,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,1.370969414710441,1.370969414710441,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P13,0.5,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.42112758953235185,0.42112758953235185,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P14,0.72,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.7933662372055236,0.7933662372055236,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P2,1.0,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,1.8689622397799033,1.8689622397799033,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P3,0.95,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,1.4336745903674055,1.4336745903674055,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P4,0.9,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.9836345145985358,0.9836345145985358,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P5,0.8,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.7095422556187873,0.7095422556187873,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P6,0.85,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.4297610992009413,0.4297610992009413,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P7,0.4,640.0,Dealer Launch,Starter Pack,mixed,bundle,new_dealer,All,0.3034925479505611,0.3034925479505611,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P8,0.95,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,1.1866460030788746,1.1866460030788746,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_A,P9,0.75,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,1.0673588553067546,1.0673588553067546,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P1,0.82,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,1.1197435197844567,1.1197435197844567,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P11,0.7,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,0.5767403030364048,0.5767403030364048,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P12,0.74,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,0.5962754334055721,0.5962754334055721,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P13,0.35,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.16557778756059466,0.16557778756059466,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P14,0.42,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.2642046470071634,0.2642046470071634,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P2,0.86,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.9793741958540886,0.9793741958540886,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P3,0.7,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.6408864608605046,0.6408864608605046,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P4,0.62,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.472601642186292,0.472601642186292,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P5,0.55,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.3087174366100119,0.3087174366100119,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P6,0.65,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.2030772365628164,0.2030772365628164,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P8,0.72,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,0.5145811850431135,0.5145811850431135,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_B,P9,0.58,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.42750526257679095,0.42750526257679095,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_C,P10,0.9,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.3130947640810118,0.3130947640810118,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_C,P14,0.6,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.29538801472392623,0.29538801472392623,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_C,P2,0.65,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.6948190323727074,0.6948190323727074,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_C,P3,1.0,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.8569615724879212,0.8569615724879212,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_C,P4,0.95,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.5434127031021241,0.5434127031021241,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_C,P9,0.92,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.5413754098887813,0.5413754098887813,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_E,P1,0.3,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,0.142884,0.142884,0.0,,,0,,
